Ticker,Status Akuisisi
CLEO,RENCANA AKUISISI
AREA,TIDAK ADA
DKFT,TIDAK ADA
SAME,TIDAK ADA
NSSS,TIDAK ADA
IPTV,TIDAK ADA
BATR,TIDAK ADA
ASSA,TIDAK ADA
ERAL,TIDAK ADA
IKAN,TIDAK ADA
LOPI,DALAM AKUISISI
KRAS,TIDAK ADA
MPIX,TIDAK ADA
VIVA,TIDAK ADA
FAST,TIDAK ADA
AHAP,TIDAK ADA
TCPI,TIDAK ADA
UNTR,TIDAK ADA
BANK,TIDAK ADA
MAIN,RENCANA AKUISISI
POLA,TIDAK ADA
BGTG,TIDAK ADA
TRON,TIDAK ADA
STAA,TIDAK ADA
BNGA,TIDAK ADA
NIKL,TIDAK ADA
MAPA,TIDAK ADA
SPRE,TIDAK ADA
MKAP,RENCANA AKUISISI
EXCL,DALAM AKUISISI
CFIN,TIDAK ADA
WEHA,TIDAK ADA
JAST,TIDAK ADA
TRJA,RENCANA AKUISISI
DYAN,TIDAK ADA
JARR,TIDAK ADA
DGIK,TIDAK ADA
ASLC,TIDAK ADA
HBAT,TIDAK ADA
ESTA,TIDAK ADA
WOWS,TIDAK ADA
MAHA,TIDAK ADA
BTPS,TIDAK ADA
TRUS,RENCANA AKUISISI
INKP,TIDAK ADA
HALO,TIDAK ADA
RLCO,TIDAK ADA
TKIM,TIDAK ADA
IPCM,TIDAK ADA
GOLF,TIDAK ADA
CHEM,TIDAK ADA
WAPO,TIDAK ADA
FPNI,TIDAK ADA
TOTL,TIDAK ADA
MUTU,TIDAK ADA
MOLI,TIDAK ADA
BRRC,TIDAK ADA
TMPO,RENCANA AKUISISI
BKSW,DALAM AKUISISI
ERTX,TIDAK ADA
BOLA,DALAM AKUISISI
TMAS,TIDAK ADA
TBLA,TIDAK ADA
RMKO,TIDAK ADA
WTON,TIDAK ADA
ARTO,TIDAK ADA
MPMX,TIDAK ADA
DSFI,TIDAK ADA
KLAS,TIDAK ADA
GJTL,TIDAK ADA
MHKI,RENCANA AKUISISI
MANG,TIDAK ADA
VAST,TIDAK ADA
BDMN,TIDAK ADA
BAUT,TIDAK ADA
IRRA,DALAM AKUISISI
CPRO,TIDAK ADA
PAMG,TIDAK ADA
SOLA,RENCANA AKUISISI
JATI,TIDAK ADA
CASH,RENCANA AKUISISI
ASPI,RENCANA AKUISISI
NAIK,TIDAK ADA
OKAS,RENCANA AKUISISI
BOBA,TIDAK ADA
TAMU,DALAM AKUISISI
OLIV,RENCANA AKUISISI
PKPK,TIDAK ADA
NISP,RENCANA AKUISISI
TAMA,TIDAK ADA
RUIS,TIDAK ADA
AISA,TIDAK ADA
TPMA,TIDAK ADA
MERI,TIDAK ADA
ISEA,TIDAK ADA
KKES,RENCANA AKUISISI
LPPS,TIDAK ADA
SATU,TIDAK ADA
ELIT,TIDAK ADA
TUGU,RENCANA AKUISISI
LUCY,TIDAK ADA
BACA,TIDAK ADA
NRCA,TIDAK ADA
BAJA,TIDAK ADA
PANS,RENCANA AKUISISI
WINS,TIDAK ADA
WIIM,TIDAK ADA
WGSH,TIDAK ADA
PTPP,TIDAK ADA
GEMA,TIDAK ADA
DIVA,TIDAK ADA
CHEK,TIDAK ADA
GRIA,TIDAK ADA
AGRS,TIDAK ADA
LPPF,TIDAK ADA
INPC,TIDAK ADA
RALS,TIDAK ADA
IMJS,TIDAK ADA
CENT,TIDAK ADA
KKGI,TIDAK ADA
INDS,TIDAK ADA
PPRI,RENCANA AKUISISI
KOBX,TIDAK ADA
AUTO,DALAM AKUISISI
ITMG,TIDAK ADA
VISI,TIDAK ADA
LUCK,TIDAK ADA
PURI,TIDAK ADA
ESTI,TIDAK ADA
TRIS,TIDAK ADA
AWAN,DALAM AKUISISI
DATA,RENCANA AKUISISI
TARA,TIDAK ADA
SMKL,TIDAK ADA
BOAT,TIDAK ADA
ECII,TIDAK ADA
UDNG,TIDAK ADA
ELPI,TIDAK ADA
POWR,TIDAK ADA
RELF,TIDAK ADA
CBDK,TIDAK ADA
SMSM,TIDAK ADA
ARKO,TIDAK ADA
PJHB,TIDAK ADA
AEGS,TIDAK ADA
SURI,TIDAK ADA
JIHD,TIDAK ADA
VRNA,RENCANA AKUISISI
BLES,TIDAK ADA
UFOE,TIDAK ADA
AXIO,TIDAK ADA
MCAS,TIDAK ADA
KBLM,TIDAK ADA
BMHS,TIDAK ADA
PGLI,TIDAK ADA
SAPX,TIDAK ADA
IPOL,TIDAK ADA
IPAC,TIDAK ADA
APII,TIDAK ADA
SCNP,RENCANA AKUISISI
PZZA,TIDAK ADA
WOMF,TIDAK ADA
BINO,TIDAK ADA
DART,TIDAK ADA
LMPI,TIDAK ADA
KICI,TIDAK ADA
CRSN,TIDAK ADA
NIRO,TIDAK ADA
ASJT,TIDAK ADA
CAMP,TIDAK ADA
MDKI,TIDAK ADA
LRNA,TIDAK ADA
STAR,TIDAK ADA
DMMX,TIDAK ADA
WINE,TIDAK ADA
SBMA,TIDAK ADA
KLIN,TIDAK ADA
TYRE,TIDAK ADA
CINT,TIDAK ADA
KMTR,RENCANA AKUISISI
TNCA,TIDAK ADA
VOKS,TIDAK ADA
EKAD,TIDAK ADA
VICO,TIDAK ADA
MKTR,TIDAK ADA
SKLT,TIDAK ADA
VINS,TIDAK ADA
INTD,TIDAK ADA
ADMG,TIDAK ADA
AKPI,TIDAK ADA
TRST,TIDAK ADA
SDPC,DALAM AKUISISI
FMII,TIDAK ADA
PTIS,TIDAK ADA
RELI,TIDAK ADA
MICE,TIDAK ADA
CSAP,TIDAK ADA
TFAS,TIDAK ADA
CAKK,TIDAK ADA
TRGU,TIDAK ADA
GLVA,TIDAK ADA
MTWI,TIDAK ADA
BMAS,TIDAK ADA
IKPM,TIDAK ADA
BTON,TIDAK ADA
FOOD,TIDAK ADA
CANI,TIDAK ADA
KOIN,TIDAK ADA
GTBO,RENCANA AKUISISI
INTA,TIDAK ADA
CMPP,TIDAK ADA
SMBR,TIDAK ADA
LMAX,TIDAK ADA
SULI,TIDAK ADA
KDTN,RENCANA AKUISISI
FWCT,TIDAK ADA
CARS,TIDAK ADA
RAAM,RENCANA AKUISISI
KBLI,RENCANA AKUISISI
MTDL,TIDAK ADA
ASLI,RENCANA AKUISISI
ATIC,TIDAK ADA
NEST,TIDAK ADA
AMAR,TIDAK ADA
ARNA,TIDAK ADA
SPMA,TIDAK ADA
INTP,RENCANA AKUISISI
BUDI,RENCANA AKUISISI
RISE,TIDAK ADA
PNBN,TIDAK ADA
JKON,TIDAK ADA
HADE,TIDAK ADA
ALII,DALAM AKUISISI
MBSS,RENCANA AKUISISI
SMKM,RENCANA AKUISISI
DLTA,RENCANA AKUISISI
SAGE,RENCANA AKUISISI
RCCC,TIDAK ADA
CMRY,TIDAK ADA
MDLA,TIDAK ADA
BVIC,RENCANA AKUISISI
PCAR,TIDAK ADA
BEST,TIDAK ADA
GGRM,TIDAK ADA
PPGL,TIDAK ADA
DOID,TIDAK ADA
CSIS,TIDAK ADA
AALI,TIDAK ADA
ABBA,TIDAK ADA
ABDA,TIDAK ADA
ABMM,TIDAK ADA
ACST,TIDAK ADA
ADCP,TIDAK ADA
ADES,TIDAK ADA
ADMF,TIDAK ADA
AGAR,TIDAK ADA
AGII,TIDAK ADA
AIMS,RENCANA AKUISISI
AKKU,TIDAK ADA
AKSI,TIDAK ADA
ALDO,TIDAK ADA
ALKA,TIDAK ADA
ALMI,TIDAK ADA
ALTO,TIDAK ADA
AMAG,TIDAK ADA
AMAN,TIDAK ADA
AMFG,TIDAK ADA
AMIN,TIDAK ADA
AMMS,RENCANA AKUISISI
AMOR,RENCANA AKUISISI
ANJT,TIDAK ADA
APIC,TIDAK ADA
APLI,TIDAK ADA
ARGO,TIDAK ADA
ARII,TIDAK ADA
ARKA,TIDAK ADA
ARMY,TIDAK ADA
ARTA,TIDAK ADA
ARTI,TIDAK ADA
ASBI,TIDAK ADA
ASDM,TIDAK ADA
ASGR,TIDAK ADA
ASMI,TIDAK ADA
ASRM,TIDAK ADA
ATAP,RENCANA AKUISISI
ATLA,TIDAK ADA
BABP,TIDAK ADA
BALI,TIDAK ADA
BATA,RENCANA AKUISISI
BAYU,TIDAK ADA
BBHI,TIDAK ADA
BBLD,TIDAK ADA
BBMD,TIDAK ADA
BBSI,TIDAK ADA
BBSS,TIDAK ADA
BCAP,RENCANA AKUISISI
BEBS,TIDAK ADA
BELI,TIDAK ADA
BESS,TIDAK ADA
BHAT,TIDAK ADA
BIKA,TIDAK ADA
BIKE,TIDAK ADA
BIMA,TIDAK ADA
BINA,TIDAK ADA
BIRD,TIDAK ADA
BISI,TIDAK ADA
BKDP,RENCANA AKUISISI
BLOG,TIDAK ADA
BLTZ,TIDAK ADA
BLUE,DALAM AKUISISI
BMSR,TIDAK ADA
BNBA,TIDAK ADA
BNII,TIDAK ADA
BNLI,TIDAK ADA
BOGA,TIDAK ADA
BOLT,RENCANA AKUISISI
BOSS,TIDAK ADA
BPFI,RENCANA AKUISISI
BPII,RENCANA AKUISISI
BPTR,TIDAK ADA
BRAM,TIDAK ADA
BRNA,TIDAK ADA
BSIM,TIDAK ADA
BSSR,TIDAK ADA
BSWD,TIDAK ADA
BTEL,TIDAK ADA
BTPN,TIDAK ADA
BUAH,TIDAK ADA
BUKK,TIDAK ADA
BYAN,TIDAK ADA
CARE,TIDAK ADA
CASA,TIDAK ADA
CASS,TIDAK ADA
CBMF,TIDAK ADA
CBPE,TIDAK ADA
CBUT,TIDAK ADA
CCSI,TIDAK ADA
CEKA,TIDAK ADA
CHIP,TIDAK ADA
CITA,TIDAK ADA
CLAY,TIDAK ADA
CLPI,TIDAK ADA
CMNP,DALAM AKUISISI
CNKO,TIDAK ADA
CNTX,TIDAK ADA
COAL,RENCANA AKUISISI
COWL,TIDAK ADA
CPRI,TIDAK ADA
CRAB,TIDAK ADA
CSRA,RENCANA AKUISISI
CTBN,TIDAK ADA
DAAZ,RENCANA AKUISISI
DADA,TIDAK ADA
DAYA,RENCANA AKUISISI
DCII,RENCANA AKUISISI
DEAL,TIDAK ADA
DEPO,RENCANA AKUISISI
DGNS,TIDAK ADA
DIGI,TIDAK ADA
DMND,TIDAK ADA
DNAR,TIDAK ADA
DNET,TIDAK ADA
DOSS,TIDAK ADA
DPNS,TIDAK ADA
DRMA,RENCANA AKUISISI
DUCK,TIDAK ADA
DUTI,TIDAK ADA
DVLA,TIDAK ADA
DWGL,TIDAK ADA
EAST,TIDAK ADA
EDGE,TIDAK ADA
ENAK,TIDAK ADA
ENVY,RENCANA AKUISISI
EPMT,TIDAK ADA
ETWA,TIDAK ADA
EURO,DALAM AKUISISI
FAPA,TIDAK ADA
FASW,TIDAK ADA
FIMP,TIDAK ADA
FISH,TIDAK ADA
FITT,TIDAK ADA
FORU,TIDAK ADA
GAMA,TIDAK ADA
GDST,TIDAK ADA
GDYR,TIDAK ADA
GEMS,RENCANA AKUISISI
GGRP,TIDAK ADA
GHON,TIDAK ADA
GLOB,TIDAK ADA
GMTD,TIDAK ADA
GOLD,TIDAK ADA
GOLL,TIDAK ADA
GOOD,RENCANA AKUISISI
GRPH,TIDAK ADA
GTRA,TIDAK ADA
GUNA,TIDAK ADA
GWSA,TIDAK ADA
HAIS,TIDAK ADA
HDFA,TIDAK ADA
HDIT,TIDAK ADA
HELI,TIDAK ADA
HERO,RENCANA AKUISISI
HEXA,TIDAK ADA
HGII,TIDAK ADA
HILL,TIDAK ADA
HITS,TIDAK ADA
HKMU,TIDAK ADA
HOME,TIDAK ADA
HOTL,DALAM AKUISISI
HRME,TIDAK ADA
HYGN,TIDAK ADA
IBFN,TIDAK ADA
IBST,DALAM AKUISISI
IDPR,TIDAK ADA
IFII,TIDAK ADA
IFSH,TIDAK ADA
IGAR,TIDAK ADA
IIKP,TIDAK ADA
IKBI,TIDAK ADA
IMAS,TIDAK ADA
INAF,TIDAK ADA
INAI,TIDAK ADA
INCF,TIDAK ADA
INCI,TIDAK ADA
INDR,RENCANA AKUISISI
INDX,TIDAK ADA
INOV,TIDAK ADA
INPP,TIDAK ADA
INPS,TIDAK ADA
INRU,TIDAK ADA
IPCC,TIDAK ADA
IPPE,TIDAK ADA
ISSP,TIDAK ADA
ITIC,TIDAK ADA
ITMA,TIDAK ADA
JAWA,TIDAK ADA
JAYA,TIDAK ADA
JECC,RENCANA AKUISISI
JMAS,TIDAK ADA
JRPT,TIDAK ADA
JSKY,TIDAK ADA
JSPT,TIDAK ADA
JTPE,TIDAK ADA
KAEF,TIDAK ADA
KARW,TIDAK ADA
KAYU,TIDAK ADA
KBRI,TIDAK ADA
KDSI,TIDAK ADA
KEJU,RENCANA AKUISISI
KIAS,TIDAK ADA
KING,TIDAK ADA
KINO,TIDAK ADA
KMDS,TIDAK ADA
KONI,TIDAK ADA
KSIX,TIDAK ADA
LABS,TIDAK ADA
LCGP,TIDAK ADA
LFLO,TIDAK ADA
LIFE,TIDAK ADA
LINK,RENCANA AKUISISI
LION,RENCANA AKUISISI
LIVE,RENCANA AKUISISI
LMAS,TIDAK ADA
LMSH,TIDAK ADA
LPCK,TIDAK ADA
LPGI,TIDAK ADA
LPIN,TIDAK ADA
LPLI,TIDAK ADA
LTLS,TIDAK ADA
MABA,TIDAK ADA
MAGP,TIDAK ADA
MAPB,TIDAK ADA
MARI,TIDAK ADA
MASB,TIDAK ADA
MAXI,TIDAK ADA
MAYA,TIDAK ADA
MBAP,TIDAK ADA
MCOL,TIDAK ADA
MDIY,TIDAK ADA
MDLN,TIDAK ADA
MDRN,TIDAK ADA
MEGA,DALAM AKUISISI
MENN,TIDAK ADA
MERK,DALAM AKUISISI
META,TIDAK ADA
MFMI,TIDAK ADA
MGLV,TIDAK ADA
MINE,DALAM AKUISISI
MITI,TIDAK ADA
MKNT,TIDAK ADA
MKPI,TIDAK ADA
MLBI,TIDAK ADA
MLIA,TIDAK ADA
MLPT,TIDAK ADA
MMLP,DALAM AKUISISI
MORA,TIDAK ADA
MPRO,TIDAK ADA
MPXL,TIDAK ADA
MRAT,TIDAK ADA
MREI,TIDAK ADA
MSTI,TIDAK ADA
MTFN,RENCANA AKUISISI
MTLA,TIDAK ADA
MTMH,TIDAK ADA
MTPS,RENCANA AKUISISI
MTRA,TIDAK ADA
MTSM,TIDAK ADA
MYOH,TIDAK ADA
MYTX,TIDAK ADA
NASA,TIDAK ADA
NASI,TIDAK ADA
NATO,TIDAK ADA
NELY,TIDAK ADA
NETV,TIDAK ADA
NFCX,TIDAK ADA
NICE,DALAM AKUISISI
NICK,TIDAK ADA
NINE,RENCANA AKUISISI
NOBU,DALAM AKUISISI
NUSA,TIDAK ADA
OBAT,TIDAK ADA
OBMD,TIDAK ADA
OCAP,TIDAK ADA
OMRE,TIDAK ADA
PALM,TIDAK ADA
PANR,TIDAK ADA
PBID,TIDAK ADA
PBSA,TIDAK ADA
PDES,TIDAK ADA
PDPP,TIDAK ADA
PEHA,TIDAK ADA
PEVE,TIDAK ADA
PGJO,DALAM AKUISISI
PGUN,TIDAK ADA
PICO,TIDAK ADA
PJAA,TIDAK ADA
PLAS,RENCANA AKUISISI
PLIN,TIDAK ADA
PMJS,TIDAK ADA
PMMP,TIDAK ADA
PNBS,TIDAK ADA
PNGO,TIDAK ADA
PNIN,TIDAK ADA
PNSE,TIDAK ADA
POLI,TIDAK ADA
POLL,TIDAK ADA
POLU,TIDAK ADA
POLY,TIDAK ADA
POOL,TIDAK ADA
PORT,TIDAK ADA
POSA,DALAM AKUISISI
PRAY,TIDAK ADA
PRDA,TIDAK ADA
PSAT,TIDAK ADA
PSGO,TIDAK ADA
PSSI,TIDAK ADA
PTDU,TIDAK ADA
PTMR,TIDAK ADA
PTPS,TIDAK ADA
PTPW,TIDAK ADA
PTSN,TIDAK ADA
PTSP,TIDAK ADA
PUDP,TIDAK ADA
PURE,TIDAK ADA
RAFI,TIDAK ADA
RANC,DALAM AKUISISI
RDTX,TIDAK ADA
REAL,TIDAK ADA
RIGS,TIDAK ADA
RIMO,TIDAK ADA
ROCK,TIDAK ADA
RODA,RENCANA AKUISISI
RONY,DALAM AKUISISI
ROTI,TIDAK ADA
RSGK,TIDAK ADA
RUNS,TIDAK ADA
SAFE,TIDAK ADA
SAMF,TIDAK ADA
SBAT,TIDAK ADA
SCCO,TIDAK ADA
SCPI,TIDAK ADA
SDRA,TIDAK ADA
SFAN,TIDAK ADA
SGRO,TIDAK ADA
SHID,TIDAK ADA
SHIP,DALAM AKUISISI
SICO,TIDAK ADA
SILO,RENCANA AKUISISI
SIMA,TIDAK ADA
SINI,TIDAK ADA
SIPD,TIDAK ADA
SKBM,TIDAK ADA
SKRN,TIDAK ADA
SKYB,TIDAK ADA
SMAR,TIDAK ADA
SMCB,TIDAK ADA
SMDM,RENCANA AKUISISI
SMMA,TIDAK ADA
SMMT,RENCANA AKUISISI
SMRU,TIDAK ADA
SOFA,TIDAK ADA
SOHO,TIDAK ADA
SONA,DALAM AKUISISI
SOSS,TIDAK ADA
SOTS,TIDAK ADA
SOUL,TIDAK ADA
SPTO,TIDAK ADA
SRAJ,TIDAK ADA
SRIL,TIDAK ADA
SSTM,TIDAK ADA
STTP,TIDAK ADA
SUGI,TIDAK ADA
SUNI,TIDAK ADA
SUPR,DALAM AKUISISI
SURE,TIDAK ADA
SWAT,TIDAK ADA
SWID,RENCANA AKUISISI
TALF,TIDAK ADA
TAYS,TIDAK ADA
TBIG,RENCANA AKUISISI
TBMS,TIDAK ADA
TCID,TIDAK ADA
TDPM,TIDAK ADA
TEBE,TIDAK ADA
TECH,TIDAK ADA
TELE,TIDAK ADA
TFCO,TIDAK ADA
TGKA,TIDAK ADA
TGRA,TIDAK ADA
TGUK,TIDAK ADA
TIFA,DALAM AKUISISI
TIRA,TIDAK ADA
TIRT,TIDAK ADA
TLDN,DALAM AKUISISI
TOPS,DALAM AKUISISI
TOTO,TIDAK ADA
TOYS,TIDAK ADA
TRAM,DALAM AKUISISI
TRIL,TIDAK ADA
TRIM,TIDAK ADA
TRIO,TIDAK ADA
TRUK,TIDAK ADA
TSPC,TIDAK ADA
UANG,TIDAK ADA
UCID,TIDAK ADA
ULTJ,TIDAK ADA
UNIC,TIDAK ADA
UNIT,TIDAK ADA
UNSP,TIDAK ADA
URBN,TIDAK ADA
VICI,TIDAK ADA
WEGE,TIDAK ADA
WICO,TIDAK ADA
WIKA,TIDAK ADA
WOOD,TIDAK ADA
WSBP,TIDAK ADA
WSKT,TIDAK ADA
YPAS,TIDAK ADA
YULE,TIDAK ADA
YUPI,TIDAK ADA
ZATA,TIDAK ADA
ZBRA,RENCANA AKUISISI
ZINC,TIDAK ADA
ZONE,TIDAK ADA
ZYRX,TIDAK ADA
TRUE,TIDAK ADA
JELI,TIDAK ADA
JECX,TIDAK ADA
